customer_id,CustomerName,Gender,age,City,State,Pincode,DateOfBirth,Age,MaritalStatus,Education,Occupation,AnnualIncome,AccountOpenDate,CustomerSegment,account_type
35,Turvi Bava,Male,69,Pune,Maharashtra,803976,12-12-1973,52,Divorced,Bachelor,Student,87000,22-11-2020,Regular,Current
36,Vinaya Pant,Female,52,Chandigarh,Punjab,940222,26-04-1979,46,Married,Bachelor,Salaried,924035,01-11-2022,Silver,Salary
37,Anamika Dutt,Female,40,Thiruvananthapuram,Kerala,24321,13-03-1990,35,Single,Diploma,Self-employed,1319308,26-02-2024,Gold,Savings
38,Om Tella,Female,26,Delhi,Delhi,195978,03-03-1969,56,Single,Diploma,Retired,377308,17-08-2024,Regular,Current
39,Pratyush Choudhry,Male,69,Ahmedabad,Gujarat,866716,27-04-1968,57,Married,Bachelor,Salaried,920330,27-09-2014,Silver,Current
40,Veda Muni,Female,51,Jaipur,Rajasthan,848245,31-01-1994,31,Married,Master,Student,79395,14-08-2010,Regular,Salary
41,Unnati Prashad,Male,59,Lucknow,Uttar Pradesh,308587,04-09-1968,57,Single,PhD,Salaried,1267298,16-04-2019,Gold,Current
42,Indali Pau,Female,69,Delhi,Delhi,446266,16-03-1992,33,Married,Bachelor,Self-employed,649734,09-03-2012,Silver,Current
43,Ekantika Chandran,Male,46,Chandigarh,Punjab,882737,09-11-1990,35,Single,Bachelor,Student,143429,29-01-2022,Regular,Savings
44,Suhani Upadhyay,Female,54,Jaipur,Rajasthan,771048,28-02-2014,11,Divorced,High School,Self-employed,1617566,10-01-2023,Gold,Salary
45,Aarna Manne,Female,42,Thiruvananthapuram,Kerala,421821,24-09-1983,42,Single,High School,Salaried,929733,28-01-2013,Silver,Current
46,Janaki Garde,Female,21,Jaipur,Rajasthan,842378,24-11-1963,62,Married,High School,Business Owner,2895266,21-02-2011,Platinum,Savings
47,Aryan Salvi,Female,23,Lucknow,Uttar Pradesh,698651,20-03-2001,24,Single,High School,Retired,340890,30-04-2010,Regular,Current
48,Viraj Raval,Male,38,Lucknow,Uttar Pradesh,615846,09-02-2008,17,Married,Diploma,Retired,204563,07-06-2016,Regular,Salary
49,Ishita Natt,Female,67,Bhopal,Madhya Pradesh,810424,14-03-1971,54,Married,Diploma,Business Owner,1590340,28-04-2018,Gold,Salary
50,Suhani Puri,Male,51,Chennai,Tamil Nadu,899470,16-12-1993,32,Single,Bachelor,Business Owner,1713768,09-08-2021,Gold,Salary
51,Jack Apte,Male,63,Ahmedabad,Gujarat,100714,26-01-1967,58,Divorced,Bachelor,Business Owner,1352175,27-11-2012,Gold,Savings
52,Vedika Roy,Female,67,Hyderabad,Telangana,765017,11-07-2009,16,Married,Bachelor,Self-employed,476854,05-01-2011,Regular,Current
53,Idika Bahl,Female,67,Jaipur,Rajasthan,57146,20-04-1986,39,Divorced,Diploma,Student,137390,11-09-2020,Regular,Savings
54,Sai Hora,Female,33,Delhi,Delhi,783904,25-05-2016,9,Married,Diploma,Business Owner,1470427,24-03-2013,Gold,Savings
55,Tanay Purohit,Male,38,Kolkata,West Bengal,441506,28-06-2015,10,Married,PhD,Self-employed,1424103,01-03-2012,Gold,Current
56,Arin Dixit,Male,56,Bangalore,Karnataka,623679,11-06-1992,33,Divorced,High School,Salaried,1370690,10-10-2018,Gold,Savings
57,Geetika Nagarajan,Male,69,Patna,Bihar,165226,18-10-2011,14,Single,Master,Salaried,1420541,04-02-2014,Gold,Salary
58,Fiyaz Yohannan,Female,51,Bhubaneswar,Odisha,543745,01-04-1977,48,Single,Diploma,Business Owner,627025,24-01-2016,Silver,Current
59,Eesha Nadkarni,Female,31,Mumbai,Maharashtra,853412,29-03-1966,59,Single,Bachelor,Salaried,766082,25-01-2020,Silver,Salary
60,Dalaja Sur,Male,50,Patna,Bihar,45715,10-02-1964,61,Single,High School,Business Owner,1318877,11-09-2016,Gold,Savings
61,Idika Thaman,Male,39,Bangalore,Karnataka,823080,29-04-2019,6,Single,High School,Salaried,561749,06-11-2012,Silver,Current
62,Bachittar Gour,Male,55,Mumbai,Maharashtra,303995,11-06-1980,45,Single,Diploma,Salaried,1411178,11-09-2016,Gold,Salary
63,Zayan Thakur,Male,58,Lucknow,Uttar Pradesh,742674,17-12-1985,40,Married,Bachelor,Student,107087,06-09-2019,Regular,Current
64,Falguni Karpe,Male,53,Patna,Bihar,340732,27-02-1967,58,Single,Diploma,Student,160437,15-07-2022,Regular,Salary
65,Jyoti Chaudhary,Male,25,Lucknow,Uttar Pradesh,306944,19-11-1980,45,Single,Bachelor,Salaried,474369,21-01-2016,Regular,Salary
66,Isaiah Majumdar,Male,57,Mumbai,Maharashtra,792385,22-01-1969,56,Married,Diploma,Student,67995,22-09-2020,Regular,Salary
67,Harsh Ramanathan,Male,47,Patna,Bihar,219050,06-02-1994,31,Single,Diploma,Business Owner,1343219,21-06-2015,Gold,Salary
68,Aahana Raghavan,Female,34,Chennai,Tamil Nadu,692282,08-12-1984,41,Married,Master,Retired,225643,22-04-2013,Regular,Current
69,Hemani Suresh,Female,46,Lucknow,Uttar Pradesh,694606,04-09-2000,25,Single,Master,Business Owner,2685927,29-01-2018,Platinum,Savings
70,Chanchal Maharaj,Female,69,Jaipur,Rajasthan,316994,11-01-2017,8,Widowed,Bachelor,Student,97767,16-03-2017,Regular,Savings
71,Isha Pal,Female,57,Pune,Maharashtra,715259,23-09-1992,33,Married,Diploma,Self-employed,1295743,12-05-2011,Gold,Salary
72,Rudra Rajagopal,Female,53,Bhopal,Madhya Pradesh,103311,04-08-1974,51,Single,High School,Salaried,378505,11-07-2019,Regular,Current
73,Siya Ramakrishnan,Male,36,Kolkata,West Bengal,258008,18-03-1993,32,Single,PhD,Student,184474,14-05-2017,Regular,Current
74,Qushi Bora,Male,55,Bangalore,Karnataka,40705,15-11-1991,34,Married,Diploma,Student,174370,06-01-2013,Regular,Current
75,Nitesh Vig,Male,56,Kolkata,West Bengal,952003,18-10-1978,47,Married,Master,Student,182652,28-11-2022,Regular,Salary
76,Irya Kadakia,Male,29,Pune,Maharashtra,769547,14-12-1983,42,Married,Diploma,Business Owner,2743734,25-10-2024,Platinum,Salary
77,Eiravati Kala,Male,30,Patna,Bihar,153294,19-02-2018,7,Married,PhD,Salaried,667174,04-08-2023,Silver,Savings
78,Ridhi Madan,Male,34,Delhi,Delhi,51005,28-05-1966,59,Single,Diploma,Retired,391932,17-07-2010,Regular,Current
79,Kamala Kant,Female,37,Kolkata,West Bengal,268189,25-08-2014,11,Single,Diploma,Student,67908,09-07-2017,Regular,Savings
80,Harinakshi Grover,Female,48,Hyderabad,Telangana,328183,18-12-2016,9,Single,Bachelor,Self-employed,1139511,28-11-2014,Gold,Salary
81,Aadhya Chakrabarti,Female,70,Thiruvananthapuram,Kerala,607127,09-05-1975,50,Married,PhD,Salaried,665089,17-08-2018,Silver,Salary
82,Janani Bath,Female,49,Jaipur,Rajasthan,547257,02-12-2007,18,Married,PhD,Retired,351615,23-11-2019,Regular,Savings
83,Gavin Majumdar,Female,28,Chennai,Tamil Nadu,245846,17-12-1981,44,Single,Bachelor,Self-employed,1539393,02-01-2024,Gold,Savings
84,Dominic Dara,Female,44,Hyderabad,Telangana,412673,29-08-1974,51,Single,Bachelor,Retired,349151,04-04-2024,Regular,Current
85,Nitesh Prakash,Male,23,Thiruvananthapuram,Kerala,57705,21-06-2001,24,Single,Bachelor,Retired,202917,07-09-2012,Regular,Salary
86,Zilmil Shankar,Female,34,Hyderabad,Telangana,576379,15-01-1994,31,Single,Bachelor,Salaried,320222,25-11-2012,Regular,Salary
87,Rachita Nagarajan,Female,56,Kolkata,West Bengal,939195,20-03-1984,41,Married,Master,Business Owner,1696387,18-07-2010,Gold,Savings
88,Osha Dugar,Male,68,Bhubaneswar,Odisha,490631,01-06-2017,8,Married,Diploma,Self-employed,1563608,06-02-2020,Gold,Current
89,Nathan Desai,Female,32,Bhopal,Madhya Pradesh,908841,19-12-2009,16,Married,Bachelor,Student,163978,25-07-2013,Regular,Savings
90,Rajeshri Datta,Male,42,Delhi,Delhi,398544,14-09-1979,46,Married,Bachelor,Retired,196445,08-10-2010,Regular,Savings
91,Lekha Kurian,Male,68,Bhubaneswar,Odisha,721828,03-02-1989,36,Single,Bachelor,Self-employed,1062636,09-12-2023,Gold,Current
92,Devansh Nadkarni,Male,65,Lucknow,Uttar Pradesh,133713,06-01-1965,60,Married,Master,Salaried,431270,02-10-2017,Regular,Salary
93,Yash Parekh,Female,35,Kolkata,West Bengal,559154,19-07-1980,45,Married,Diploma,Self-employed,1057375,10-09-2020,Gold,Savings
94,Ekantika Kadakia,Female,35,Delhi,Delhi,685510,17-11-1962,63,Married,Diploma,Student,97589,23-04-2022,Regular,Savings
95,Darpan Nagy,Male,38,Kolkata,West Bengal,436740,19-04-1988,37,Married,Diploma,Student,82041,01-11-2024,Regular,Salary
96,Pooja Savant,Female,53,Pune,Maharashtra,700504,28-12-1995,30,Married,Diploma,Salaried,1233589,30-07-2023,Gold,Salary
97,Ria Nayak,Male,28,Lucknow,Uttar Pradesh,903481,08-01-1984,41,Married,Diploma,Self-employed,1850200,05-07-2010,Gold,Salary
98,Devika Taneja,Male,37,Hyderabad,Telangana,186113,08-12-1965,60,Married,Master,Business Owner,1782322,03-04-2015,Gold,Salary
99,Sara Wable,Male,41,Mumbai,Maharashtra,247611,05-12-1978,47,Single,Bachelor,Business Owner,2213766,14-01-2017,Platinum,Current
100,Wriddhish Gole,Male,57,Chennai,Tamil Nadu,528518,19-11-2010,15,Single,Master,Retired,271292,13-03-2017,Regular,Savings
101,Rachita Chaudry,Female,21,Chandigarh,Punjab,925970,25-03-1988,37,Single,High School,Retired,446498,02-04-2010,Regular,Current
102,Pranav Bedi,Female,25,Ahmedabad,Gujarat,355384,28-01-1979,46,Married,Master,Self-employed,846078,18-01-2022,Silver,Savings
103,Abeer Bir,Female,63,Mumbai,Maharashtra,778287,20-10-2018,7,Single,Bachelor,Retired,271671,19-03-2012,Regular,Current
104,Rachit Magar,Female,63,Chandigarh,Punjab,372131,14-10-2004,21,Married,High School,Student,109356,01-10-2022,Regular,Savings
105,Vedant Bhandari,Male,56,Chandigarh,Punjab,237809,30-06-1995,30,Divorced,Bachelor,Salaried,1312150,23-07-2023,Gold,Savings
106,Unni Deo,Female,45,Hyderabad,Telangana,558527,02-09-2017,8,Single,PhD,Retired,368360,18-04-2019,Regular,Salary
107,Onkar Mittal,Male,40,Mumbai,Maharashtra,442974,01-03-2001,24,Married,High School,Business Owner,709725,07-02-2022,Silver,Savings
108,Yatin Arora,Female,34,Delhi,Delhi,946230,25-10-1972,53,Married,Bachelor,Student,76614,25-11-2015,Regular,Savings
109,Mekhala Chaudhry,Female,49,Jaipur,Rajasthan,921791,06-10-1983,42,Single,Master,Business Owner,2646997,24-03-2016,Platinum,Savings
110,Yutika Ramaswamy,Male,68,Bangalore,Karnataka,107671,11-07-1972,53,Single,High School,Retired,395973,21-03-2017,Regular,Current
111,Urvi Chauhan,Female,63,Kolkata,West Bengal,369695,15-02-1982,43,Single,Bachelor,Retired,156298,08-10-2019,Regular,Savings
112,Zaid Acharya,Female,69,Delhi,Delhi,733036,12-05-2010,15,Single,Diploma,Student,143386,29-04-2017,Regular,Current
113,Anusha Arora,Female,33,Chandigarh,Punjab,310071,09-05-2008,17,Divorced,Diploma,Business Owner,2281974,08-01-2020,Platinum,Savings
114,Jalsa Nayak,Male,51,Bhubaneswar,Odisha,574621,28-07-1983,42,Married,Bachelor,Salaried,1303206,30-01-2022,Gold,Salary
115,Yahvi Seshadri,Male,61,Patna,Bihar,926926,11-06-2012,13,Married,High School,Salaried,694246,13-10-2011,Silver,Savings
116,Kashish Ghose,Female,36,Bhubaneswar,Odisha,54841,08-06-1998,27,Married,Bachelor,Student,126686,12-01-2020,Regular,Salary
117,Ishani Deshpande,Male,70,Lucknow,Uttar Pradesh,398458,08-05-2012,13,Married,High School,Retired,246389,29-11-2015,Regular,Current
118,Ronith Shetty,Female,65,Lucknow,Uttar Pradesh,368469,31-10-1995,30,Single,Diploma,Student,150012,08-08-2016,Regular,Current
119,Janaki Vohra,Male,28,Chandigarh,Punjab,811902,22-06-1992,33,Married,Bachelor,Business Owner,2582740,28-02-2014,Platinum,Current
120,Aditya Bansal,Male,56,Delhi,Delhi,180759,04-09-1979,46,Married,Diploma,Salaried,483757,03-10-2010,Regular,Salary
121,Ria Bains,Male,67,Pune,Maharashtra,837092,29-05-1972,53,Married,Diploma,Retired,485467,21-01-2017,Regular,Savings
122,Siya Nayar,Female,56,Patna,Bihar,539657,17-09-2005,20,Married,Master,Business Owner,2509871,03-11-2015,Platinum,Current
123,Lila Upadhyay,Female,51,Jaipur,Rajasthan,169381,10-04-2004,21,Single,Master,Salaried,1228394,31-03-2011,Gold,Savings
124,Darika Dhingra,Female,38,Delhi,Delhi,133874,26-02-1968,57,Single,Master,Salaried,1094610,05-04-2024,Gold,Current
125,Advay Sachdeva,Female,38,Mumbai,Maharashtra,119678,23-03-1964,61,Single,Bachelor,Self-employed,740966,09-02-2018,Silver,Current
126,Krishna Baral,Male,42,Bhubaneswar,Odisha,481480,01-11-1969,56,Married,Master,Retired,410635,27-11-2011,Regular,Savings
127,Samuel Sani,Male,35,Hyderabad,Telangana,521847,17-09-1973,52,Married,Master,Student,154199,19-04-2018,Regular,Current
128,Sachi Dass,Male,25,Kolkata,West Bengal,92383,16-04-2016,9,Married,Diploma,Self-employed,1634908,08-12-2024,Gold,Current
129,Ishwar Ahuja,Female,47,Kolkata,West Bengal,895656,09-05-1974,51,Single,Diploma,Salaried,436953,23-04-2017,Regular,Current
130,Ria Krish,Female,70,Thiruvananthapuram,Kerala,851245,15-11-1997,28,Married,High School,Retired,262734,02-06-2019,Regular,Savings
131,Gunbir Gopal,Male,69,Chandigarh,Punjab,743229,04-07-2013,12,Married,Diploma,Retired,217694,11-11-2020,Regular,Current
132,Jeevika Zachariah,Male,43,Kolkata,West Bengal,896346,12-09-1965,60,Single,Master,Self-employed,840192,17-04-2016,Silver,Salary
133,Radhika Pandit,Male,47,Bhubaneswar,Odisha,383934,09-07-1994,31,Single,Bachelor,Business Owner,2161169,20-03-2010,Platinum,Savings
134,Rachita Deshpande,Male,38,Chandigarh,Punjab,824725,27-03-1994,31,Single,Bachelor,Business Owner,1072739,26-08-2022,Gold,Savings
135,Lajita Garg,Male,63,Bhubaneswar,Odisha,40363,17-06-2013,12,Divorced,High School,Student,117358,28-11-2013,Regular,Savings
136,Chaitaly Chaudhary,Female,50,Kolkata,West Bengal,21338,28-12-2001,24,Single,High School,Retired,297169,02-02-2011,Regular,Savings
137,Ryan Sama,Male,58,Pune,Maharashtra,470486,21-06-2007,18,Married,Diploma,Self-employed,1719328,16-08-2012,Gold,Current
138,Yoshita Pathak,Male,48,Thiruvananthapuram,Kerala,46607,22-07-1982,43,Married,PhD,Salaried,1201799,30-10-2018,Gold,Savings
139,Manbir Mann,Male,37,Ahmedabad,Gujarat,537849,19-08-2009,16,Single,Diploma,Business Owner,1598878,27-06-2024,Gold,Current
140,Kavya Menon,Male,42,Thiruvananthapuram,Kerala,33133,11-01-1961,64,Widowed,Master,Self-employed,1116083,07-03-2021,Gold,Current
141,Ekalinga Sarraf,Female,47,Chennai,Tamil Nadu,85196,11-04-1970,55,Divorced,High School,Student,63804,01-02-2017,Regular,Current
142,Daniel Ravel,Male,68,Thiruvananthapuram,Kerala,142996,04-03-2008,17,Single,Bachelor,Student,57600,28-06-2023,Regular,Savings
143,Onveer Mangat,Male,25,Patna,Bihar,31596,09-12-1983,42,Married,Bachelor,Retired,461493,21-05-2023,Regular,Salary
144,Nitesh Virk,Female,36,Bhubaneswar,Odisha,228270,03-07-2017,8,Single,Master,Student,59681,12-06-2015,Regular,Salary
145,Vidhi Som,Female,36,Bangalore,Karnataka,644879,08-07-1990,35,Single,High School,Student,79403,18-10-2010,Regular,Savings
146,Kamala Hegde,Female,34,Bhopal,Madhya Pradesh,151929,03-01-1970,55,Single,High School,Business Owner,702267,16-07-2010,Silver,Salary
147,Girik Brahmbhatt,Female,31,Jaipur,Rajasthan,414805,01-05-1986,39,Married,Diploma,Business Owner,2732485,10-08-2011,Platinum,Current
148,Hitesh Sidhu,Male,31,Mumbai,Maharashtra,795349,02-01-1999,26,Married,Master,Student,195254,10-01-2015,Regular,Savings
149,Amruta Soni,Male,40,Lucknow,Uttar Pradesh,530838,10-03-1974,51,Single,High School,Retired,278406,11-10-2015,Regular,Current
150,Veda Gade,Male,66,Hyderabad,Telangana,642601,14-09-2000,25,Single,High School,Business Owner,2511968,29-01-2024,Platinum,Current
151,Abeer Kamdar,Female,70,Bhubaneswar,Odisha,14259,16-04-1960,65,Divorced,Bachelor,Business Owner,1455777,05-10-2011,Gold,Current
152,Yachana Setty,Male,57,Ahmedabad,Gujarat,203048,18-08-1983,42,Single,Bachelor,Student,54446,19-10-2016,Regular,Savings
153,Tamanna Doshi,Male,63,Delhi,Delhi,793949,28-11-2004,21,Single,Master,Retired,378549,30-09-2010,Regular,Savings
154,Falak Bera,Male,47,Bhubaneswar,Odisha,806159,11-01-1976,49,Married,Master,Student,111329,30-10-2017,Regular,Current
155,Wyatt Mammen,Male,44,Delhi,Delhi,495606,18-07-2005,20,Widowed,Bachelor,Salaried,1013829,10-02-2024,Gold,Savings
156,Anya Sidhu,Male,48,Chennai,Tamil Nadu,215783,18-07-1969,56,Single,Master,Salaried,643357,01-02-2022,Silver,Current
157,Chakradhar Venkatesh,Male,55,Pune,Maharashtra,965022,05-02-2016,9,Married,Bachelor,Retired,149912,04-03-2011,Regular,Salary
158,Guneet Rastogi,Female,67,Patna,Bihar,455266,10-10-1986,39,Married,Diploma,Salaried,478225,11-09-2018,Regular,Savings
159,Kiaan Deol,Male,26,Mumbai,Maharashtra,82548,28-04-2017,8,Single,Master,Retired,383274,18-02-2024,Regular,Current
160,Chandani Barad,Female,50,Chennai,Tamil Nadu,262568,18-07-2005,20,Married,Bachelor,Salaried,1158990,26-09-2020,Gold,Salary
161,Ishani Dugal,Male,52,Jaipur,Rajasthan,651210,19-08-2014,11,Single,Diploma,Self-employed,1791609,06-06-2010,Gold,Salary
162,Ekantika Ranganathan,Female,43,Mumbai,Maharashtra,968729,04-11-1977,48,Married,Bachelor,Business Owner,2689708,21-10-2022,Platinum,Current
163,Dayita Saha,Female,59,Ahmedabad,Gujarat,586991,17-09-1973,52,Married,Diploma,Student,126155,15-08-2011,Regular,Current
164,Gavin Mann,Female,54,Bhubaneswar,Odisha,492420,18-07-1993,32,Married,High School,Retired,250727,19-09-2015,Regular,Savings
165,Suhani Om,Male,47,Hyderabad,Telangana,25136,29-06-1974,51,Single,Bachelor,Salaried,656937,05-02-2016,Silver,Salary
166,Gautami Parikh,Female,62,Thiruvananthapuram,Kerala,948427,22-05-2008,17,Married,Master,Self-employed,1764304,21-09-2019,Gold,Salary
167,Naveen Bose,Male,26,Jaipur,Rajasthan,48160,31-07-2007,18,Single,Bachelor,Salaried,918259,22-01-2018,Silver,Salary
168,Pranit Palla,Male,40,Kolkata,West Bengal,318315,19-01-1960,65,Single,Diploma,Self-employed,1217600,09-12-2016,Gold,Salary
169,Gaurav Viswanathan,Female,54,Chennai,Tamil Nadu,767796,25-09-2013,12,Single,PhD,Student,122596,23-08-2021,Regular,Current
170,Vinaya Chauhan,Male,50,Bangalore,Karnataka,643578,29-01-1989,36,Married,High School,Business Owner,2658387,10-10-2015,Platinum,Salary
171,Falguni Kar,Male,67,Bhubaneswar,Odisha,343282,01-11-2003,22,Married,Diploma,Business Owner,2667208,15-02-2010,Platinum,Current
172,Zansi Srinivas,Female,69,Delhi,Delhi,757362,30-09-1961,64,Single,Diploma,Self-employed,1023988,06-02-2011,Gold,Current
173,Avi Narasimhan,Male,51,Hyderabad,Telangana,463538,13-01-1970,55,Married,High School,Salaried,1260120,22-04-2010,Gold,Salary
174,Aarini Manne,Female,33,Chandigarh,Punjab,621817,25-07-1992,33,Single,Diploma,Business Owner,2944603,26-11-2010,Platinum,Salary
175,Aarav Palan,Male,21,Bhopal,Madhya Pradesh,257548,03-08-1987,38,Married,Bachelor,Salaried,1077439,03-08-2016,Gold,Salary
176,Gabriel Gill,Female,24,Hyderabad,Telangana,911862,25-06-1981,44,Single,Master,Retired,329659,03-11-2010,Regular,Savings
177,Rayaan Pandey,Female,69,Patna,Bihar,968655,13-03-1965,60,Married,PhD,Salaried,657976,04-07-2010,Silver,Salary
178,Faraj Date,Female,51,Patna,Bihar,205389,10-08-1981,44,Single,Master,Retired,394146,27-07-2016,Regular,Salary
179,Ekani Shroff,Male,24,Kolkata,West Bengal,266748,25-11-2010,15,Divorced,Diploma,Retired,294476,01-04-2019,Regular,Current
180,Varenya Pall,Male,25,Kolkata,West Bengal,482705,24-01-1967,58,Single,Bachelor,Business Owner,2556376,19-09-2015,Platinum,Current
181,Vincent Ram,Male,64,Lucknow,Uttar Pradesh,515892,07-09-1967,58,Single,Master,Retired,272277,18-01-2018,Regular,Salary
182,Saanvi Lad,Female,40,Mumbai,Maharashtra,659732,07-08-2003,22,Single,Diploma,Salaried,1497504,26-08-2015,Gold,Current
183,Krisha Kadakia,Female,69,Chennai,Tamil Nadu,344271,17-03-1966,59,Divorced,Bachelor,Student,141364,24-12-2023,Regular,Salary
184,Urvashi Barad,Female,45,Kolkata,West Bengal,760010,16-10-2007,18,Married,Diploma,Salaried,1390307,12-05-2020,Gold,Current
185,Kashvi Dada,Male,58,Lucknow,Uttar Pradesh,530663,13-04-1971,54,Single,Diploma,Self-employed,665118,21-08-2018,Silver,Salary
186,Urishilla Bhagat,Male,24,Chennai,Tamil Nadu,757868,09-07-1971,54,Married,Bachelor,Self-employed,1486980,07-11-2021,Gold,Current
187,Ekavir Bhalla,Male,34,Jaipur,Rajasthan,363754,10-03-2019,6,Married,Bachelor,Salaried,533123,25-09-2014,Silver,Savings
188,Aadhya Vasa,Female,31,Chandigarh,Punjab,543332,22-08-2002,23,Married,Bachelor,Self-employed,1642218,19-08-2016,Gold,Savings
189,Arin Gupta,Female,47,Kolkata,West Bengal,189749,28-04-2009,16,Married,Diploma,Student,63459,04-01-2022,Regular,Current
190,Tanveer Kalita,Female,35,Mumbai,Maharashtra,640893,24-10-1974,51,Single,Bachelor,Self-employed,775705,20-11-2019,Silver,Salary
191,Anya Kapur,Female,50,Lucknow,Uttar Pradesh,990661,12-10-1983,42,Single,Master,Business Owner,1101711,15-11-2017,Gold,Savings
192,Charan Doshi,Female,61,Chennai,Tamil Nadu,874579,04-05-2007,18,Married,PhD,Student,68732,27-10-2013,Regular,Salary
193,Madhav Puri,Female,55,Jaipur,Rajasthan,279641,02-06-2014,11,Divorced,Diploma,Business Owner,2350138,07-02-2018,Platinum,Savings
